cell_id	status	axis_role	key_width	head_count	steps_per_head	pressure_axes	profile_id	lookup_claims	trace_rows	fused_proof_size_bytes	source_plus_sidecar_raw_proof_bytes	fused_to_source_plus_sidecar_ratio	evidence_json	missing_reason
d8_h1_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	baseline	8	1	8	baseline	d8_single_head_seq8	52	64	47698	59437	0.802497	docs/engineering/evidence/zkai-attention-kv-stwo-native-d8-fused-softmax-table-gate-2026-05.json	proved
d8_h1_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	sequence_axis	8	1	16	sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h1_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	sequence_axis	8	1	32	sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h1_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	sequence_axis	8	1	64	sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h2_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	head_axis	8	2	8	head	d8_two_head_seq8	104	128	49508	65208	0.759232	docs/engineering/evidence/zkai-attention-kv-stwo-native-two-head-fused-softmax-table-gate-2026-05.json	proved
d8_h2_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	head_sequence_crossing	8	2	16	head+sequence	d8_two_head_seq16	336	512	60502	79444	0.761568	docs/engineering/evidence/zkai-attention-kv-stwo-native-two-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d8_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	head_sequence_crossing	8	2	32	head+sequence	d8_two_head_seq32	1184	2048	66327	98012	0.676723	docs/engineering/evidence/zkai-attention-kv-stwo-native-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d8_h2_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	2	64	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h4_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	head_axis	8	4	8	head	d8_four_head_seq8	208	256	53468	74529	0.717412	docs/engineering/evidence/zkai-attention-kv-stwo-native-four-head-fused-softmax-table-gate-2026-05.json	proved
d8_h4_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	4	16	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h4_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	4	32	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h4_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	4	64	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h8_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	head_axis	8	8	8	head	d8_eight_head_seq8	416	512	59375	74086	0.801433	docs/engineering/evidence/zkai-attention-kv-stwo-native-eight-head-fused-softmax-table-gate-2026-05.json	proved
d8_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	8	16	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	8	32	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h8_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	8	64	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h16_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	head_axis	8	16	8	head	d8_sixteen_head_seq8	832	1024	65006	88711	0.732784	docs/engineering/evidence/zkai-attention-kv-stwo-native-sixteen-head-fused-softmax-table-gate-2026-05.json	proved
d8_h16_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	16	16	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h16_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	16	32	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d8_h16_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	head_sequence_crossing	8	16	64	head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h1_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_axis	16	1	8	width	d16_single_head_seq8	52	64	64503	74961	0.860487	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-fused-softmax-table-gate-2026-05.json	proved
d16_h1_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	16	1	16	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h1_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	16	1	32	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h1_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	16	1	64	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h2_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_crossing	16	2	8	width+head	d16_two_head_seq8	104	128	78211	91596	0.853869	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-two-head-fused-softmax-table-gate-2026-05.json	proved
d16_h2_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	16	2	16	width+head+sequence	d16_two_head_seq16	336	512	84868	108158	0.784667	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-two-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d16_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	16	2	32	width+head+sequence	d16_two_head_seq32	1184	2048	92363	127207	0.726084	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d16_h2_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	2	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	16	4	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	4	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	4	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	4	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	16	8	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	8	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	8	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
