profile_id	axis_role	source_proof_size_bytes	sidecar_proof_size_bytes	source_plus_sidecar_raw_proof_bytes	fused_proof_size_bytes	fused_saves_vs_source_plus_sidecar_bytes	opening_bucket_savings_bytes	fri_proof_savings_bytes	decommitments_savings_bytes	query_bucket_savings_bytes	commitment_bucket_savings_bytes	backend_internal_split_status
d8_single_head_seq8	baseline	44692	14745	59437	47698	11739	10480	5492	4988	657	339	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d16_single_head_seq8	width_axis	61516	13445	74961	64503	10458	9156	5072	4084	681	356	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d8_two_head_seq8	head_axis	47104	18104	65208	49508	15700	14456	7795	6661	634	345	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d8_four_head_seq8	head_axis_extension	52746	21783	74529	53468	21061	19742	11400	8342	702	353	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d8_eight_head_seq8	head_axis_extension	52392	21694	74086	59375	14711	13509	8155	5354	595	343	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d8_sixteen_head_seq8	head_axis_extension	60649	28062	88711	65006	23705	22366	14185	8181	729	346	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d8_two_head_seq16	sequence_axis	52366	27078	79444	60502	18942	17643	10853	6790	703	332	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d8_two_head_seq32	sequence_axis_extension	62983	35029	98012	66327	31685	30203	19422	10781	846	373	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d16_two_head_seq8	combined_width_head_axis	73508	18088	91596	78211	13385	11946	6634	5312	834	342	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d16_two_head_seq16	combined_width_head_sequence_axis	83330	24828	108158	84868	23290	21827	13296	8531	873	327	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
d64_four_head_seq64	combined_width_head_sequence_axis_d64_seq64_decision_gate	272638	43147	315785	276503	39282	37827	27012	10815	850	341	NO_GO_SERIALIZED_STARK_PROOF_DOES_NOT_LABEL_SOURCE_ARITHMETIC_VS_LOGUP_LOOKUP_COLUMNS_OR_BYTES
