row_id	proof_system	object_class	workload	status	primary_metric	primary_value	prove_seconds	verify_seconds	comparability	evidence_path
local_stwo_dense_substitute	Stwo/STARK	local_native_stwo_proof_component	d128 RMSNorm/SwiGLU/down/residual substitute component	LOCAL_COMPONENT_FRONTIER	derived_mlp_fused_typed_bytes	22576	NA	NA	LOCAL_STWO_TYPED_ACCOUNTING_NOT_MATCHED_GKR_WORKLOAD	docs/engineering/evidence/zkai-minimal-transformer-block-benchmark-2026-05.json
tiny_gemm	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm	GO	proof_bytes	11645	0.811731	1.966926	TINY_LINEAR_PROJECTION_ONLY_NOT_D128_MLP	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_gemm_add	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm -> Add	GO	proof_bytes	36449	0.940403	2.343996	TINY_LINEAR_PLUS_ADD_SHAPE_NOT_D128_MLP	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_gemm_residual_add	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm(width-preserving) -> Add(input)	GO	proof_bytes	56054	0.936787	2.394773	TINY_RESIDUAL_ADD_SHAPE_NOT_D128_MLP	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_gemm_layernorm	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm(width-preserving) -> LayerNormalization	GO	proof_bytes	52080	0.849479	1.967507	TINY_NORMALIZATION_SHAPE_NOT_OUR_RMSNORM_COMPONENT	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_gemm_batchnorm	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm -> BatchNormalization	GO	proof_bytes	95105	2.659671	6.161834	TINY_NORMALIZATION_LIKE_SHAPE_NOT_OUR_RMSNORM_COMPONENT	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_gemm_relu	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm -> Relu	NO_GO	range_check_capacity		NA	NA	NO_GO_ACTIVATION_RANGE_CHECK_CAPACITY	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_gemm_softmax	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm(width-preserving) -> Softmax	NO_GO	unconstrained_backend_op		0.011955	NA	NO_GO_UNCONSTRAINED_SOFTMAX_BACKEND_OP	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
tiny_matmul_residual_add	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	MatMul -> Add(input)	NO_GO	unsupported_witness_op		NA	NA	NO_GO_LITERAL_MATMUL_WITNESS_UNSUPPORTED	docs/engineering/evidence/zkai-jstprove-shape-probe-2026-05.json
jstprove_statement_envelope_binding	JSTprove/Remainder-GKR-sumcheck	external_statement_binding_adapter	tiny_gemm statement-envelope relabeling adapter	GO_STATEMENT_ENVELOPE_REJECTS_RELABELING	mutations_rejected	13	NA	NA	STATEMENT_BINDING_ONLY_NOT_DENSE_LAYER_PROOF_SIZE	docs/engineering/evidence/zkai-jstprove-statement-envelope-benchmark-2026-05.json
