row_id	category	status	lookup_claims	typed_bytes	matched_frontier_typed_bytes	typed_saving_bytes	typed_saving_share	json_bytes	binary_raw_bytes	binary_raw_status	comparison_status	source_status
d8_single_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	52	18124	21400	3276	0.153084	47698		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d16_single_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	52	28876	31768	2892	0.091035	64503		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d8_two_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	104	18436	22832	4396	0.192537	49508		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d8_four_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	208	19412	25296	5884	0.232606	53468		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d8_eight_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	416	21060	25136	4076	0.162158	59375		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d8_sixteen_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	832	22660	29264	6604	0.22567	65006		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d8_two_head_seq16	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	336	21396	26640	5244	0.196847	60502		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d8_two_head_seq32	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	1184	22916	31712	8796	0.277371	66327		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d16_two_head_seq8	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	104	29908	33584	3676	0.109457	78211		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
d16_two_head_seq16	attention_fused_vs_split	GO_FUSED_BEATS_SPLIT_ON_TYPED_BYTES	336	31508	37952	6444	0.169793	84868		NOT_AVAILABLE_IN_CONTROLLED_COMPONENT_GRID_ROW	LOCAL_MATCHED_ATTENTION_SOURCE_PLUS_SIDECAR	local_checked
seq32_d128_native_single_proof	native_attention_plus_mlp_boundary	GO_SINGLE_NATIVE_STWO_OBJECT_BEATS_MATCHED_TWO_PROOF_FRONTIER	1184	42068	47188	5120	0.108502	121996	1084	LOCAL_RECORD_STREAM_ACCOUNTING_NOT_UPSTREAM_STWO_SERIALIZATION	LOCAL_MATCHED_SEQ32_D128_TWO_PROOF_FRONTIER	local_checked
seq32_d128_statement_only_probe_b	statement_bound_native_attention_plus_mlp_boundary	GO_INNER_POLICY_BOUND_STATEMENT_ONLY_PROFILE_BEATS_MATCHED_FRONTIER	1184	39516	47188	7672	0.162584	113388	1084	LOCAL_RECORD_STREAM_ACCOUNTING_NOT_UPSTREAM_STWO_SERIALIZATION	LOCAL_MATCHED_SEQ32_D128_TWO_PROOF_FRONTIER	local_checked
d64_attention_grid_no_go	explicit_no_go_grid_row	NO_GO_NOT_SOURCE_BACKED_NATIVE_FUSED_ATTENTION_ROW									NOT_PROOF_SIZE_COMPARABLE	explicit_no_go
d128_attention_grid_no_go	explicit_no_go_grid_row	NO_GO_NOT_SOURCE_BACKED_NATIVE_FUSED_ATTENTION_ROW									NOT_PROOF_SIZE_COMPARABLE	explicit_no_go
d256_attention_grid_no_go	explicit_no_go_grid_row	NO_GO_NOT_SOURCE_BACKED_NATIVE_FUSED_ATTENTION_ROW									NOT_PROOF_SIZE_COMPARABLE	explicit_no_go
EZKL	external_baseline_status	NOT_PROOF_SIZE_COMPARABLE									NOT_PROOF_SIZE_COMPARABLE	local_checked_statement_boundary_only
d64 external adapter surface	external_baseline_status	NOT_PROOF_SIZE_COMPARABLE									NOT_PROOF_SIZE_COMPARABLE	local_checked_no_go_for_vanilla_external_export
Jolt Atlas	external_baseline_status	NOT_PROOF_SIZE_COMPARABLE									NOT_PROOF_SIZE_COMPARABLE	repo_available_not_locally_reproduced
NANOZK	external_baseline_status	NOT_PROOF_SIZE_COMPARABLE									NOT_PROOF_SIZE_COMPARABLE	paper_reported_not_locally_reproduced
