profile_id	axis_role	total_saving_bytes	opening_saving_bytes	opening_saving_share	fri_saving_bytes	decommitment_saving_bytes	query_saving_bytes	sidecar_opening_surface_bytes	fused_opening_minus_source_opening_bytes	sidecar_opening_absorption_share	first_action	fork_status
d8_single_head_seq8	baseline	11739	10480	0.892751	5492	4988	657	12319	1839	0.850718	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d16_single_head_seq8	width_axis	10458	9156	0.875502	5072	4084	681	11019	1863	0.830928	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d8_two_head_seq8	head_axis	15700	14456	0.920764	7795	6661	634	15684	1228	0.921704	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d8_four_head_seq8	head_axis_extension	21061	19742	0.937372	11400	8342	702	19350	-392	1.020258	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d8_eight_head_seq8	head_axis_extension	14711	13509	0.918292	8155	5354	595	19280	5771	0.700674	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d8_sixteen_head_seq8	head_axis_extension	23705	22366	0.943514	14185	8181	729	25641	3275	0.872275	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d8_two_head_seq16	sequence_axis	18942	17643	0.931422	10853	6790	703	24658	7015	0.715508	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d8_two_head_seq32	sequence_axis_extension	31685	30203	0.953227	19422	10781	846	32585	2382	0.926899	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d16_two_head_seq8	combined_width_head_axis	13385	11946	0.892492	6634	5312	834	15663	3717	0.762689	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d16_two_head_seq16	combined_width_head_sequence_axis	23290	21827	0.937183	13296	8531	873	22414	587	0.973811	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
d64_four_head_seq64	combined_width_head_sequence_axis_d64_seq64_decision_gate	39282	37827	0.96296	27012	10815	850	40721	2894	0.928931	ROUTE_LEVEL_LAYOUT_POLICY_AND_PROOF_SECTION_PROFILER_HARDENING	NO_GO_FORK_UNTIL_ADAPTER_LAYER_OR_ROUTE_POLICY_HITS_MEASURED_STWO_INTERNAL_WALL
